id, latitude, longitude, healthy
"A12-11", 36.024179, 140.100167, 1
"A12-12", 36.024135, 140.100238, 1
"A12-13", 36.024041, 140.1003737, 1
"A12-14", 36.024001, 140.100443, 1
"A12-15", 36.023950, 140.100508, 1
"A12-16", 36.023905, 140.100573, 1
"A12-17", 36.023808, 140.100714, 1
"A12-18", 36.023765, 140.100773, 1
"A12-19", 36.023713, 140.100845, 1
"A12-20", 36.023679, 140.100895, 1
"A13-1", 36.023478, 140.101052, 1
"A13-2", 36.023440, 140.101103, 1
"A13-3", 36.023395, 140.101172, 1
"A13-4", 36.023351, 140.101246, 1
"A13-5", 36.023304, 140.101310, 1
"A13-6", 36.023260, 140.101367, 1
"A13-7", 36.023210, 140.101439, 1
"A14-1", 36.023536, 140.101105, 1
"A14-2", 36.023495, 140.101167, 1
"A14-3", 36.023448, 140.101235, 1
"A14-4", 36.023401, 140.101301, 1
"A14-5", 36.023344, 140.101368, 0
"A14-6", 36.023307, 140.101434, 1
"A14-7", 36.023258, 140.101502, 1
"A14-8", 36.023222, 140.101565, 1
"A14-9", 36.023165, 140.101641, 1
"A14-10", 36.023110, 140.101706, 0
"A14-11", 36.023081, 140.101750, 1
"A14-12", 36.023024, 140.101842, 1
"A14-13", 36.022987, 140.101896, 1
"A14-14", 36.022927, 140.101980, 1
"A14-15", 36.022837, 140.102111, 1
"A14-16", 36.022793, 140.102177, 1
"A14-17", 36.022745, 140.102245, 1
"A15-1", 36.023025, 140.101707, 1
"A15-2", 36.022997, 140.101744, 1
"A15-3", 36.022904, 140.101880, 1
"A15-4", 36.022844, 140.101948, 0
"A15-5", 36.022799, 140.102014, 0
"A15-6", 36.022715, 140.102149, 1
"A16-1", 36.021419, 140.100974, 1
"A16-2", 36.021463, 140.101011, 1
"A16-3", 36.021512, 140.101064, 1
"A16-4", 36.021571, 140.101126, 1
"A16-5", 36.021624, 140.101184, 1
"A16-6", 36.021693, 140.101253, 1
"A16-7", 36.021804, 140.101369, 1
"A16-8", 36.021858, 140.101426, 1
"A16-9", 36.021915, 140.101485, 1
"A16-10", 36.021975, 140.101552, 1
"A16-11", 36.022184, 140.101773, 1
"A16-12", 36.022240, 140.101829, 1
"A16-13", 36.022297, 140.101892, 1
"A16-14", 36.022345, 140.101943, 1
"A16-15", 36.022406, 140.102006, 1
"A16-16", 36.022458, 140.102064, 1
"A16-17", 36.022516, 140.102122, 1
"A16-18", 36.022572, 140.102179, 1
"A17-1", 36.021375, 140.101033, 1
"A17-2", 36.021411, 140.101076, 1
"A17-3", 36.021459, 140.101126, 1
"A17-4", 36.021513, 140.101181, 1
"A17-5", 36.021565, 140.101232, 1
"A17-6", 36.021626, 140.101295, 1
"A17-7", 36.021677, 140.101352, 1
"A17-8", 36.021786, 140.101470, 1
"A17-9", 36.021844, 140.101527, 1
"A17-10", 36.021895, 140.101583, 1
"A17-11", 36.022061, 140.101753, 1
"A17-12", 36.022118, 140.101818, 1
"A17-13", 36.022227, 140.101931, 1
"A17-14", 36.022274, 140.101984, 1
"A17-15", 36.022339, 140.102047, 1
"A17-16", 36.022391, 140.102101, 1
"A17-17", 36.022448, 140.102160, 1
"A17-18", 36.022483, 140.102201, 1



